frame,direction,steering,steering_smooth,stable_direction
0,NEUTRAL,0.0,0.0,NEUTRAL
1,NEUTRAL,0.0,0.0,NEUTRAL
2,NEUTRAL,0.0,0.0,NEUTRAL
3,NEUTRAL,0.0,0.0,NEUTRAL
4,NEUTRAL,0.0,0.0,NEUTRAL
5,NEUTRAL,0.0,0.0,NEUTRAL
6,NEUTRAL,0.0,0.0,NEUTRAL
7,NEUTRAL,0.0,0.0,NEUTRAL
8,NEUTRAL,0.0,0.0,NEUTRAL
9,NEUTRAL,0.0,0.0,NEUTRAL
10,NEUTRAL,0.0,0.0,NEUTRAL
11,NEUTRAL,0.0,0.0,NEUTRAL
12,NEUTRAL,0.0,0.0,NEUTRAL
13,NEUTRAL,0.0,0.0,NEUTRAL
14,NEUTRAL,0.0,0.0,NEUTRAL
15,NEUTRAL,0.0,0.0,NEUTRAL
16,NEUTRAL,0.0,0.0,NEUTRAL
17,NEUTRAL,0.0,0.0,NEUTRAL
18,NEUTRAL,0.0,0.0,NEUTRAL
19,NEUTRAL,0.0,0.0,NEUTRAL
20,NEUTRAL,0.0,0.0,NEUTRAL
21,LEFT TURN,-1.0,-0.1,NEUTRAL
22,NEUTRAL,0.0,-0.09000000000000001,NEUTRAL
23,NEUTRAL,0.0,-0.08100000000000002,NEUTRAL
24,NEUTRAL,0.0,-0.07290000000000002,NEUTRAL
25,NEUTRAL,0.0,-0.06561000000000002,NEUTRAL
26,NEUTRAL,0.0,-0.05904900000000002,NEUTRAL
27,NEUTRAL,0.0,-0.05314410000000002,NEUTRAL
28,NEUTRAL,0.0,-0.04782969000000002,NEUTRAL
29,NEUTRAL,0.0,-0.043046721000000024,NEUTRAL
30,NEUTRAL,0.0,-0.03874204890000002,NEUTRAL
31,NEUTRAL,0.0,-0.03486784401000002,NEUTRAL
32,NEUTRAL,0.0,-0.03138105960900001,NEUTRAL
33,NEUTRAL,0.0,-0.028242953648100012,NEUTRAL
34,NEUTRAL,0.0,-0.025418658283290013,NEUTRAL
35,NEUTRAL,0.0,-0.022876792454961013,NEUTRAL
36,NEUTRAL,0.0,-0.020589113209464913,NEUTRAL
37,NEUTRAL,0.0,-0.01853020188851842,NEUTRAL
38,NEUTRAL,0.0,-0.01667718169966658,NEUTRAL
39,NEUTRAL,0.0,-0.015009463529699923,NEUTRAL
40,NEUTRAL,0.0,-0.013508517176729932,NEUTRAL
41,NEUTRAL,0.0,-0.01215766545905694,NEUTRAL
42,NEUTRAL,0.0,-0.010941898913151246,NEUTRAL
43,NEUTRAL,0.0,-0.009847709021836121,NEUTRAL
44,NEUTRAL,0.0,-0.00886293811965251,NEUTRAL
45,NEUTRAL,0.0,-0.007976644307687259,NEUTRAL
46,NEUTRAL,0.0,-0.007178979876918534,NEUTRAL
47,NEUTRAL,0.0,-0.006461081889226681,NEUTRAL
48,NEUTRAL,0.0,-0.005814973700304013,NEUTRAL
49,NEUTRAL,0.0,-0.005233476330273611,NEUTRAL
50,NEUTRAL,0.0,-0.00471012869724625,NEUTRAL
51,NEUTRAL,0.0,-0.004239115827521626,NEUTRAL
52,NEUTRAL,0.0,-0.0038152042447694634,NEUTRAL
53,NEUTRAL,0.0,-0.003433683820292517,NEUTRAL
54,NEUTRAL,0.0,-0.0030903154382632653,NEUTRAL
55,NEUTRAL,0.0,-0.002781283894436939,NEUTRAL
56,NEUTRAL,0.0,-0.002503155504993245,NEUTRAL
57,NEUTRAL,0.0,-0.0022528399544939205,NEUTRAL
58,NEUTRAL,0.0,-0.0020275559590445286,NEUTRAL
59,NEUTRAL,0.0,-0.0018248003631400759,NEUTRAL
60,NEUTRAL,0.0,-0.0016423203268260682,NEUTRAL
61,NEUTRAL,0.0,-0.0014780882941434613,NEUTRAL
62,NEUTRAL,0.0,-0.0013302794647291152,NEUTRAL
63,NEUTRAL,0.0,-0.0011972515182562037,NEUTRAL
64,NEUTRAL,0.0,-0.0010775263664305832,NEUTRAL
65,NEUTRAL,0.0,-0.000969773729787525,NEUTRAL
66,NEUTRAL,0.0,-0.0008727963568087724,NEUTRAL
67,NEUTRAL,0.0,-0.0007855167211278952,NEUTRAL
68,NEUTRAL,0.0,-0.0007069650490151057,NEUTRAL
69,NEUTRAL,0.0,-0.0006362685441135952,NEUTRAL
70,NEUTRAL,0.0,-0.0005726416897022357,NEUTRAL
71,NEUTRAL,0.0,-0.0005153775207320121,NEUTRAL
72,NEUTRAL,0.0,-0.00046383976865881093,NEUTRAL
73,NEUTRAL,0.0,-0.00041745579179292984,NEUTRAL
74,NEUTRAL,0.0,-0.00037571021261363684,NEUTRAL
75,NEUTRAL,0.0,-0.00033813919135227316,NEUTRAL
76,NEUTRAL,0.0,-0.00030432527221704587,NEUTRAL
77,NEUTRAL,0.0,-0.00027389274499534127,NEUTRAL
78,NEUTRAL,0.0,-0.00024650347049580716,NEUTRAL
79,NEUTRAL,0.0,-0.00022185312344622646,NEUTRAL
80,NEUTRAL,0.0,-0.00019966781110160382,NEUTRAL
81,NEUTRAL,0.0,-0.00017970102999144343,NEUTRAL
82,NEUTRAL,0.0,-0.0001617309269922991,NEUTRAL
83,NEUTRAL,0.0,-0.0001455578342930692,NEUTRAL
84,NEUTRAL,0.0,-0.00013100205086376228,NEUTRAL
85,NEUTRAL,0.0,-0.00011790184577738606,NEUTRAL
86,NEUTRAL,0.0,-0.00010611166119964746,NEUTRAL
87,NEUTRAL,0.0,-9.550049507968271e-05,NEUTRAL
88,NEUTRAL,0.0,-8.595044557171444e-05,NEUTRAL
89,NEUTRAL,0.0,-7.7355401014543e-05,NEUTRAL
90,NEUTRAL,0.0,-6.96198609130887e-05,NEUTRAL
91,NEUTRAL,0.0,-6.265787482177983e-05,NEUTRAL
92,NEUTRAL,0.0,-5.639208733960185e-05,NEUTRAL
93,NEUTRAL,0.0,-5.075287860564167e-05,NEUTRAL
94,NEUTRAL,0.0,-4.5677590745077506e-05,NEUTRAL
95,NEUTRAL,0.0,-4.1109831670569756e-05,NEUTRAL
96,NEUTRAL,0.0,-3.699884850351278e-05,NEUTRAL
97,NEUTRAL,0.0,-3.3298963653161505e-05,NEUTRAL
98,NEUTRAL,0.0,-2.9969067287845354e-05,NEUTRAL
99,NEUTRAL,0.0,-2.697216055906082e-05,NEUTRAL
100,NEUTRAL,0.0,-2.427494450315474e-05,NEUTRAL
101,NEUTRAL,0.0,-2.1847450052839264e-05,NEUTRAL
102,NEUTRAL,0.0,-1.9662705047555338e-05,NEUTRAL
103,NEUTRAL,0.0,-1.7696434542799806e-05,NEUTRAL
104,NEUTRAL,0.0,-1.5926791088519825e-05,NEUTRAL
105,NEUTRAL,0.0,-1.4334111979667843e-05,NEUTRAL
106,NEUTRAL,0.0,-1.2900700781701059e-05,NEUTRAL
107,NEUTRAL,0.0,-1.1610630703530954e-05,NEUTRAL
108,NEUTRAL,0.0,-1.0449567633177859e-05,NEUTRAL
109,NEUTRAL,0.0,-9.404610869860074e-06,NEUTRAL
110,NEUTRAL,0.0,-8.464149782874067e-06,NEUTRAL
111,NEUTRAL,0.0,-7.6177348045866605e-06,NEUTRAL
112,NEUTRAL,0.0,-6.855961324127994e-06,NEUTRAL
113,NEUTRAL,0.0,-6.170365191715195e-06,NEUTRAL
114,NEUTRAL,0.0,-5.553328672543675e-06,NEUTRAL
115,NEUTRAL,0.0,-4.997995805289308e-06,NEUTRAL
116,NEUTRAL,0.0,-4.498196224760377e-06,NEUTRAL
117,NEUTRAL,0.0,-4.048376602284339e-06,NEUTRAL
118,NEUTRAL,0.0,-3.6435389420559054e-06,NEUTRAL
119,NEUTRAL,0.0,-3.2791850478503147e-06,NEUTRAL
120,NEUTRAL,0.0,-2.9512665430652833e-06,NEUTRAL
121,NEUTRAL,0.0,-2.656139888758755e-06,NEUTRAL
122,NEUTRAL,0.0,-2.3905258998828797e-06,NEUTRAL
123,NEUTRAL,0.0,-2.151473309894592e-06,NEUTRAL
124,NEUTRAL,0.0,-1.9363259789051326e-06,NEUTRAL
125,NEUTRAL,0.0,-1.7426933810146194e-06,NEUTRAL
126,NEUTRAL,0.0,-1.5684240429131575e-06,NEUTRAL
127,NEUTRAL,0.0,-1.4115816386218417e-06,NEUTRAL
128,NEUTRAL,0.0,-1.2704234747596574e-06,NEUTRAL
129,NEUTRAL,0.0,-1.1433811272836916e-06,NEUTRAL
130,NEUTRAL,0.0,-1.0290430145553224e-06,NEUTRAL
131,NEUTRAL,0.0,-9.261387130997902e-07,NEUTRAL
132,NEUTRAL,0.0,-8.335248417898112e-07,NEUTRAL
133,NEUTRAL,0.0,-7.501723576108301e-07,NEUTRAL
134,NEUTRAL,0.0,-6.751551218497471e-07,NEUTRAL
135,NEUTRAL,0.0,-6.076396096647724e-07,NEUTRAL
136,NEUTRAL,0.0,-5.468756486982952e-07,NEUTRAL
137,NEUTRAL,0.0,-4.921880838284657e-07,NEUTRAL
138,NEUTRAL,0.0,-4.4296927544561913e-07,NEUTRAL
139,NEUTRAL,0.0,-3.9867234790105724e-07,NEUTRAL
140,NEUTRAL,0.0,-3.588051131109515e-07,NEUTRAL
141,NEUTRAL,0.0,-3.2292460179985633e-07,NEUTRAL
142,NEUTRAL,0.0,-2.906321416198707e-07,NEUTRAL
143,NEUTRAL,0.0,-2.615689274578837e-07,NEUTRAL
144,NEUTRAL,0.0,-2.354120347120953e-07,NEUTRAL
145,NEUTRAL,0.0,-2.118708312408858e-07,NEUTRAL
146,NEUTRAL,0.0,-1.9068374811679722e-07,NEUTRAL
147,NEUTRAL,0.0,-1.716153733051175e-07,NEUTRAL
148,NEUTRAL,0.0,-1.5445383597460574e-07,NEUTRAL
149,NEUTRAL,0.0,-1.3900845237714517e-07,NEUTRAL
150,NEUTRAL,0.0,-1.2510760713943066e-07,NEUTRAL
151,NEUTRAL,0.0,-1.125968464254876e-07,NEUTRAL
152,NEUTRAL,0.0,-1.0133716178293884e-07,NEUTRAL
153,NEUTRAL,0.0,-9.120344560464497e-08,NEUTRAL
154,NEUTRAL,0.0,-8.208310104418047e-08,NEUTRAL
155,NEUTRAL,0.0,-7.387479093976243e-08,NEUTRAL
156,NEUTRAL,0.0,-6.648731184578619e-08,NEUTRAL
157,NEUTRAL,0.0,-5.983858066120757e-08,NEUTRAL
158,NEUTRAL,0.0,-5.3854722595086814e-08,NEUTRAL
159,NEUTRAL,0.0,-4.846925033557813e-08,NEUTRAL
160,NEUTRAL,0.0,-4.362232530202032e-08,NEUTRAL
161,NEUTRAL,0.0,-3.9260092771818286e-08,NEUTRAL
162,NEUTRAL,0.0,-3.533408349463646e-08,NEUTRAL
163,NEUTRAL,0.0,-3.180067514517281e-08,NEUTRAL
164,NEUTRAL,0.0,-2.862060763065553e-08,NEUTRAL
165,NEUTRAL,0.0,-2.5758546867589977e-08,NEUTRAL
166,NEUTRAL,0.0,-2.318269218083098e-08,NEUTRAL
167,NEUTRAL,0.0,-2.086442296274788e-08,NEUTRAL
168,NEUTRAL,0.0,-1.8777980666473093e-08,NEUTRAL
169,NEUTRAL,0.0,-1.6900182599825784e-08,NEUTRAL
170,NEUTRAL,0.0,-1.5210164339843205e-08,NEUTRAL
171,NEUTRAL,0.0,-1.3689147905858886e-08,NEUTRAL
172,NEUTRAL,0.0,-1.2320233115272997e-08,NEUTRAL
173,NEUTRAL,0.0,-1.1088209803745698e-08,NEUTRAL
174,NEUTRAL,0.0,-9.979388823371127e-09,NEUTRAL
175,NEUTRAL,0.0,-8.981449941034015e-09,NEUTRAL
176,NEUTRAL,0.0,-8.083304946930615e-09,NEUTRAL
177,NEUTRAL,0.0,-7.274974452237553e-09,NEUTRAL
178,NEUTRAL,0.0,-6.547477007013798e-09,NEUTRAL
179,NEUTRAL,0.0,-5.892729306312419e-09,NEUTRAL
180,NEUTRAL,0.0,-5.303456375681177e-09,NEUTRAL
181,NEUTRAL,0.0,-4.7731107381130594e-09,NEUTRAL
182,NEUTRAL,0.0,-4.295799664301753e-09,NEUTRAL
183,NEUTRAL,0.0,-3.8662196978715785e-09,NEUTRAL
184,NEUTRAL,0.0,-3.479597728084421e-09,NEUTRAL
185,NEUTRAL,0.0,-3.1316379552759787e-09,NEUTRAL
186,NEUTRAL,0.0,-2.8184741597483808e-09,NEUTRAL
187,LEFT TURN,-1.0,-0.10000000253662675,NEUTRAL
188,LEFT TURN,-1.0,-0.1900000022829641,NEUTRAL
189,LEFT TURN,-1.0,-0.2710000020546677,LEFT TURN
190,LEFT TURN,-1.0,-0.3439000018492009,LEFT TURN
191,LEFT TURN,-1.0,-0.40951000166428086,LEFT TURN
192,NEUTRAL,0.0,-0.3685590014978528,LEFT TURN
193,NEUTRAL,0.0,-0.3317031013480675,LEFT TURN
194,LEFT TURN,-1.0,-0.3985327912132608,LEFT TURN
195,NEUTRAL,0.0,-0.3586795120919347,LEFT TURN
196,NEUTRAL,0.0,-0.32281156088274127,LEFT TURN
197,LEFT TURN,-1.0,-0.3905304047944671,LEFT TURN
198,LEFT TURN,-1.0,-0.4514773643150204,LEFT TURN
199,LEFT TURN,-1.0,-0.5063296278835183,LEFT TURN
200,LEFT TURN,-1.0,-0.5556966650951665,LEFT TURN
201,LEFT TURN,-1.0,-0.6001269985856498,LEFT TURN
202,LEFT TURN,-1.0,-0.6401142987270848,LEFT TURN
203,LEFT TURN,-1.0,-0.6761028688543763,LEFT TURN
204,LEFT TURN,-1.0,-0.7084925819689387,LEFT TURN
205,LEFT TURN,-1.0,-0.7376433237720449,LEFT TURN
206,LEFT TURN,-1.0,-0.7638789913948404,LEFT TURN
207,LEFT TURN,-0.8,-0.7674910922553564,LEFT TURN
208,LEFT TURN,-1.0,-0.7907419830298208,LEFT TURN
209,LEFT TURN,-1.0,-0.8116677847268388,LEFT TURN
210,LEFT TURN,-1.0,-0.8305010062541549,LEFT TURN
211,LEFT TURN,-1.0,-0.8474509056287394,LEFT TURN
212,LEFT TURN,-1.0,-0.8627058150658654,LEFT TURN
213,LEFT TURN,-1.0,-0.8764352335592789,LEFT TURN
214,LEFT TURN,-1.0,-0.888791710203351,LEFT TURN
215,LEFT TURN,-1.0,-0.899912539183016,LEFT TURN
216,LEFT TURN,-1.0,-0.9099212852647144,LEFT TURN
217,LEFT TURN,-1.0,-0.9189291567382429,LEFT TURN
218,LEFT TURN,-1.0,-0.9270362410644186,LEFT TURN
219,LEFT TURN,-1.0,-0.9343326169579768,LEFT TURN
220,LEFT TURN,-1.0,-0.940899355262179,LEFT TURN
221,LEFT TURN,-1.0,-0.9468094197359611,LEFT TURN
222,LEFT TURN,-1.0,-0.952128477762365,LEFT TURN
223,LEFT TURN,-1.0,-0.9569156299861284,LEFT TURN
224,LEFT TURN,-1.0,-0.9612240669875156,LEFT TURN
225,LEFT TURN,-1.0,-0.9651016602887641,LEFT TURN
226,LEFT TURN,-1.0,-0.9685914942598877,LEFT TURN
227,LEFT TURN,-1.0,-0.9717323448338989,LEFT TURN
228,LEFT TURN,-1.0,-0.974559110350509,LEFT TURN
229,LEFT TURN,-1.0,-0.9771031993154581,LEFT TURN
230,LEFT TURN,-1.0,-0.9793928793839123,LEFT TURN
231,LEFT TURN,-1.0,-0.981453591445521,LEFT TURN
232,LEFT TURN,-1.0,-0.9833082323009689,LEFT TURN
233,LEFT TURN,-1.0,-0.984977409070872,LEFT TURN
234,LEFT TURN,-1.0,-0.9864796681637847,LEFT TURN
235,LEFT TURN,-1.0,-0.9878317013474063,LEFT TURN
236,LEFT TURN,-1.0,-0.9890485312126657,LEFT TURN
237,LEFT TURN,-1.0,-0.9901436780913991,LEFT TURN
238,LEFT TURN,-1.0,-0.9911293102822593,LEFT TURN
239,LEFT TURN,-1.0,-0.9920163792540333,LEFT TURN
240,LEFT TURN,-1.0,-0.99281474132863,LEFT TURN
241,LEFT TURN,-1.0,-0.993533267195767,LEFT TURN
242,LEFT TURN,-1.0,-0.9941799404761903,LEFT TURN
243,LEFT TURN,-1.0,-0.9947619464285713,LEFT TURN
244,LEFT TURN,-1.0,-0.9952857517857142,LEFT TURN
245,LEFT TURN,-1.0,-0.9957571766071428,LEFT TURN
246,LEFT TURN,-1.0,-0.9961814589464285,LEFT TURN
247,LEFT TURN,-1.0,-0.9965633130517857,LEFT TURN
248,LEFT TURN,-1.0,-0.9969069817466071,LEFT TURN
249,LEFT TURN,-1.0,-0.9972162835719464,LEFT TURN
250,LEFT TURN,-1.0,-0.9974946552147517,LEFT TURN
251,LEFT TURN,-1.0,-0.9977451896932765,LEFT TURN
252,LEFT TURN,-1.0,-0.9979706707239488,LEFT TURN
253,LEFT TURN,-1.0,-0.9981736036515539,LEFT TURN
254,LEFT TURN,-1.0,-0.9983562432863985,LEFT TURN
255,LEFT TURN,-1.0,-0.9985206189577587,LEFT TURN
256,LEFT TURN,-1.0,-0.9986685570619828,LEFT TURN
257,LEFT TURN,-1.0,-0.9988017013557845,LEFT TURN
258,LEFT TURN,-1.0,-0.998921531220206,LEFT TURN
259,LEFT TURN,-1.0,-0.9990293780981854,LEFT TURN
260,LEFT TURN,-1.0,-0.9991264402883668,LEFT TURN
261,LEFT TURN,-1.0,-0.9992137962595301,LEFT TURN
262,LEFT TURN,-1.0,-0.999292416633577,LEFT TURN
263,LEFT TURN,-1.0,-0.9993631749702193,LEFT TURN
264,LEFT TURN,-1.0,-0.9994268574731974,LEFT TURN
265,LEFT TURN,-1.0,-0.9994841717258777,LEFT TURN
266,LEFT TURN,-1.0,-0.9995357545532899,LEFT TURN
267,LEFT TURN,-1.0,-0.9995821790979609,LEFT TURN
268,LEFT TURN,-1.0,-0.9996239611881648,LEFT TURN
269,LEFT TURN,-1.0,-0.9996615650693483,LEFT TURN
270,LEFT TURN,-1.0,-0.9996954085624135,LEFT TURN
271,LEFT TURN,-1.0,-0.9997258677061721,LEFT TURN
272,LEFT TURN,-1.0,-0.9997532809355549,LEFT TURN
273,LEFT TURN,-1.0,-0.9997779528419994,LEFT TURN
274,LEFT TURN,-1.0,-0.9998001575577995,LEFT TURN
275,LEFT TURN,-1.0,-0.9998201418020195,LEFT TURN
276,LEFT TURN,-1.0,-0.9998381276218176,LEFT TURN
277,LEFT TURN,-1.0,-0.9998543148596358,LEFT TURN
278,LEFT TURN,-1.0,-0.9998688833736722,LEFT TURN
279,LEFT TURN,-1.0,-0.9998819950363049,LEFT TURN
